source,target,source example,target example,source language,target language,source segment,url,comment
"fare fatica a","to struggle to","È normale fare fatica a comunicare chiaramente con un figlio adolescente, ma la situazione diventa critica se smette di parlare del tutto con i genitori o i suoi coetanei.","It's normal to struggle to communicate well with your teenage child, but the situation has become dangerous if your child stops talking to you or her peers altogether.","it","en","","","find it hard to, ..."
"fare finta che","pretend that","Sai, non devi fare finta che sia una sorpresa.","You know, you don't have to pretend that this is a surprise.","it","en","","","pretend like, act like"
"fare il bucato","do the laundry","Scommetto che se ci provassi impareresti anche a fare il bucato.","I bet if you really tried you could learn how to do the laundry too.","it","en","","","wash, do laundry"
"fare le valigie","pack","L'aiuterò a fare le valigie, anche se non servono.","I'll help you pack, although you really don't need anything.","it","en","","","pack up, pack your bags"
"fare notare","point out","Tuttavia, occasionalmente possiamo fare notare alcune differenze fra un'espressione standard o regionale.","However, occasionally we may point out some differences between a standard and a regional expression.","it","en","","","make notice"
"fare un capolavoro","make a masterpiece","Vedrete davanti a voi tutti il solito set di strumenti semplice con cui fare un capolavoro.","You'll see in front of you all the usual simple set of tools with which to make a masterpiece.","it","en","","","..."
"fare un paragone","make a comparison","Tuttavia, chiunque può sempre fare un paragone.","Nevertheless, anyone can of course always make a comparison.","it","en","","https://classroom.italki.com/r/3113385678","to compare, make an analogy"
"fare visita","visit","Non siamo venuti a fare visita a nessuno.","We're not here to visit.","it","en","","","drop in"
"farsi capire","make himself understood","Per farsi capire, usa le categorie e le espressioni familiari ai suoi interlocutori.","To make himself understood, he used categories and expressions familiar to his hearers.","it","en","","","make yourself understood, make themselves understood"
"fasciare","bandage","L'assassino ha usato la manica per fasciare una ferita.","Our shooter used the sleeve to bandage a wound.","it","en","","",""
"fatica","fatigue","Difficile immaginare chi ha dipinto, impossibile percepirne la fatica.","It is difficult to imagine who painted all of this, impossible to perceive his fatigue.","it","en","","","effort, struggle"
"faticare","struggle","Senti, tutti i grandi artisti devono faticare un po' nella vita.","Look, all great artists need a little struggle in their lives.","it","en","","","work hard, toil"
"fattura","invoice","Così potrò essere specifico sulla fattura.","So I can be specific on the invoice.","it","en","","","bill, workmanship"
"ferita","wound","Abbiamo richiuso la ferita e dovrebbe guarire normalmente.","We've closed the wound and expect it to heal normally.","it","en","","https://classroom.italki.com/r/8111385678","hurt, injury"
"fermarsi","stop","Neanche quello di sinistra vuole fermarsi.","The one on the left won't stop either.","it","en","","","stay, pause"
"fessura","slot","Posso sentire gli scellini nella fessura.","I can hear them shilling in the slot.","it","en","","",""
"fiancheggiato","flanked","Ha una facciata simmetrica con un ingresso a baldacchino fiancheggiato da torrette di scale semicircolari.","It has a symmetrical frontage with a canopied entrance flanked by semicircular stair turrets.","it","en","","",""
"fianco","side","Vogliono farsi voltare sull'altro fianco.","The master wants to be moved over on his side.","it","en","","","flank, hip"
"fibra","fiber","Se non avessi confuso quella fibra pregangliare...","But if I hadn't mistaken that preganglionic fiber...","it","en","","",""
"ficcare","stick","Devi proprio ficcare questa roba dappertutto?","Do you have to stick these things everywhere?","it","en","","",""
"fin a quando","until","Digli che lo terremo qui fin a quando qualcuno non pagherà.","Tell him, we're keeping him here until someone pays.","it","en","","","Since, till"
"fin da","since","Lo aspettano fin da stanotte o dall'alba molto presto.","Some have been there since last night, others came at dawn.","it","en","","","from, even as"
"fin da quando","ever since","Sono restato nascosto fin da quando è uscito quel trailer.","I've been in hiding ever since I made that movie trailer.","it","en","","","from the time, from the moment"
"fin dove","how far","Sa esattamente fin dove può spingersi senza rischiare...","He knows exactly how far he may venture without risk...","it","en","","","as far as"
"finché","until","Così farò, madre, finché avrò vita.","That's what I'll do, mother, until the end of my life.","it","en","","","as long as, till"
"finché non","until","Resteremo finché non troveremo l'anello...","We'll stay until we find the ring...","it","en","","","till, unless"
"fino ad","until","Non potrai riposarti fino ad averlo compiuto.","You will not be able to rest until it's done.","it","en","","","up to, before"
"fino adesso","until now","Dobbiamo trovare tutto su di lui, da quel periodo fino adesso.","We need to find everything from him from that period until now.","it","en","","","so far, up to now"
"fino al fondo","to the very depths","Come follia collettiva essa è penetrata fino al fondo dell'esistenza pubblica e privata dei popoli, si è incarnata nella società, è divenuta, per così dire, l'anima e il pensiero collettivo.","As collective insanity it has penetrated to the very depths of the public and private existence of the peoples; it is incarnate in society; it has become, so to speak, the collective soul and thought.","it","en","","",""
"fino allora","until then","Ma fino allora, rimani qui dentro.","But until then, stay inside.","it","en","","","hitherto, till then"
"fino in fondo","all the way","Lo amo, e andremo fino in fondo.","I love him, and we're going to go all the way.","it","en","","",""
"finora","so far","Cioè, finora abbiamo gli orecchini.","I mean, so far, we got the earrings.","it","en","","","until now, to date"
"fitta","dense","Se non vuoi tagliare rapidamente forma una fitta vegetazione galleggiante.","If you will not cut back quickly forms a dense floating vegetation.","it","en","","",""
"fitto","dense","Una mano non solo ricoperta di un pelo fitto e arruffato.","A hand not only burned... but covered with dense, matted hair.","it","en","","",""
"focalizzare","focus","In questo settore intendiamo focalizzare la nostra attenzione.","On this aspect we would like to focus our attention.","it","en","","","concentrate, focalize"
"foga","heat","Nella foga del combattimento, l'architettura brutalista spicca davvero.","In the heat of the combat, the brutalist architecture really shines.","it","en","","",""
"foglia","leaf","Dimostrando a tutti che posso spaventarti con una foglia.","Demonstrate to everyone that I can terrify you with a leaf.","it","en","","","foil, blade"
"fogne","sewer","Stiamo tappando le fogne, e tu dovresti aiutarci.","We're filling the sewer. and you should be helping us.","it","en","","https://classroom.italki.com/r/8516340088","sewage, gutter"
"folgorante","dazzling","Benvenuti in questo tutorial che definirei folgorante.","Welcome to this tutorial that I would call ""dazzling"".","it","en","","",""
"folgorato","struck","Ultimamente mi sono imbattuto in una sua conferenza e sono rimasto folgorato.","Lately I have seen one of her conferences and I was struck.","it","en","","",""
"folle","crazy","Un gesto folle, perché era disperato.","The one crazy thing, because he was desperate.","it","en","","","insane, mad"
"fondo","fund","Dobbiamo farla sembrare un fondo speculativo.","We got to make it look like a hedge fund.","it","en","","","bottom, background"
"fonte","source","Come brucia la fonte della luce.","Just as the source of light is burning.","it","en","","","fountain, spring"
"forbito","polished","Ci racconta dei suoi viaggi negli anni ottanta in un italiano forbito.","She tells us about her travels in the eighties in a very polished Italian.","it","en","","",""
"forestiero","stranger","È meglio se riprende il viaggio, forestiero.","You'd better keep travelling, stranger.","it","en","","",""
"formarsi","form","Può formarsi una struttura cristallina all'esterno della batteria.","A crystalline structure may begin to form on the outside of the battery.","it","en","","","train, be formed"
"fornire","provide","Devono ancora fornire delle prove valide.","They have yet to provide any sufficient evidence.","it","en","","","supply, give"
"foschia","haze","Guardando queste immagini si nota una specie di foschia costante.","And again, looking at these images, there's this constant, like, haze that you're seeing.","it","en","","","mist, fog"
"frammentato","fragmented","Non frammentarti perché qualcun altro è frammentato.","Do not fragment yourself because someone else is fragmented.","it","en","","",""
